round,accuracy,loss,number_of_participated_clients,learning_rate,number_of_selected_clients,client_selection_round
181,0.5428000092506409,2.00150990486145,10,0.0001,10,1
182,0.5372999906539917,2.012381076812744,10,0.0001,10,1
183,0.5393999814987183,2.0113844871520996,10,0.0001,10,1
184,0.5386999845504761,2.0462560653686523,10,0.0001,10,1
185,0.5404999852180481,2.071117401123047,10,0.0001,10,1
186,0.5385000109672546,2.0443851947784424,10,0.0001,10,1
187,0.5419999957084656,2.003490924835205,10,0.0001,10,1
188,0.5447999835014343,1.935408592224121,10,0.0001,10,1
189,0.5415999889373779,2.0083272457122803,10,0.0001,10,1
190,0.5382000207901001,2.037883758544922,10,0.0001,10,1
191,0.5419999957084656,2.054264783859253,10,0.0001,10,1
192,0.5378999710083008,2.040888786315918,10,0.0001,10,1
193,0.5412999987602234,2.0145387649536133,10,0.0001,10,1
194,0.5440000295639038,2.0005621910095215,10,0.0001,10,1
195,0.5414000153541565,1.9880902767181396,10,0.0001,10,1
196,0.5367000102996826,2.027517557144165,10,0.0001,10,1
197,0.5450999736785889,1.9786380529403687,10,0.0001,10,1
198,0.5385000109672546,2.099180221557617,10,0.0001,10,1
199,0.544700026512146,2.025347948074341,10,0.0001,10,1
