family,dataset,method,method_variant,rank_assignment,alpha,runs,completed_runs,mean_peak_accuracy,min_peak_accuracy,max_peak_accuracy,mean_final_accuracy
mnist_family,qmnist,rbla,standard,correct,0.8,3,3,0.807883333333,0.792933333333,0.827116666667,0.807883333333
mnist_family,qmnist,rbla,standard,medium,0.1,3,3,0.615077777778,0.6044,0.63075,0.601394444444
mnist_family,qmnist,rbla,standard,medium,0.4,3,3,0.780144444444,0.7382,0.80335,0.779788888889
mnist_family,qmnist,rbla,standard,medium,0.8,3,3,0.791494444445,0.7646,0.821216666667,0.791227777778
mnist_family,qmnist,rbla,standard,mismatch,0.1,3,3,0.561816666667,0.51175,0.6084,0.561816666667
mnist_family,qmnist,rbla,standard,mismatch,0.4,3,3,0.746916666667,0.723133333333,0.773766666667,0.746616666667
mnist_family,qmnist,rbla,standard,mismatch,0.8,3,3,0.790094444445,0.765716666667,0.814,0.789094444445
mnist_family,qmnist,rbla_plus,standard,correct,0.1,3,3,0.745777777778,0.709116666667,0.765616666667,0.745777777778
mnist_family,qmnist,rbla_plus,standard,correct,0.4,3,3,0.816283333333,0.792483333333,0.83555,0.816261111111
mnist_family,qmnist,rbla_plus,standard,correct,0.8,3,3,0.80765,0.794333333333,0.817516666667,0.80765
mnist_family,qmnist,rbla_plus,standard,medium,0.1,3,3,0.702677777778,0.661533333333,0.7374,0.702677777778
mnist_family,qmnist,rbla_plus,standard,medium,0.4,3,3,0.812405555556,0.775566666667,0.833166666667,0.812405555556
mnist_family,qmnist,rbla_plus,standard,medium,0.8,3,3,0.80015,0.78895,0.806833333333,0.80015
mnist_family,qmnist,rbla_plus,standard,mismatch,0.1,3,3,0.552044444444,0.50745,0.579733333333,0.552044444444
mnist_family,qmnist,rbla_plus,standard,mismatch,0.4,3,3,0.773694444445,0.751966666667,0.8083,0.773694444445
mnist_family,qmnist,rbla_plus,standard,mismatch,0.8,3,3,0.79305,0.768883333333,0.809683333333,0.79305
mnist_family,qmnist,sp,standard,correct,0.1,3,3,0.428222222222,0.262716666667,0.581083333333,0.428222222222
mnist_family,qmnist,sp,standard,correct,0.4,3,3,0.424855555556,0.176066666667,0.61215,0.424855555556
mnist_family,qmnist,sp,standard,correct,0.8,3,3,0.182733333333,0.1469,0.203783333333,0.182194444445
mnist_family,qmnist,sp,standard,medium,0.1,3,3,0.414705555556,0.2783,0.5736,0.414705555556
mnist_family,qmnist,sp,standard,medium,0.4,3,3,0.516155555556,0.253516666667,0.652566666667,0.516155555556
mnist_family,qmnist,sp,standard,medium,0.8,3,3,0.162016666667,0.11455,0.207766666667,0.161361111111
mnist_family,qmnist,sp,standard,mismatch,0.1,3,3,0.284494444444,0.266066666667,0.313383333333,0.284494444444
mnist_family,qmnist,sp,standard,mismatch,0.4,3,3,0.383205555556,0.182116666667,0.533016666667,0.368877777778
mnist_family,qmnist,sp,standard,mismatch,0.8,3,3,0.192244444444,0.1397,0.23505,0.189377777778
mnist_family,qmnist,zeropadding,standard,correct,0.1,3,3,0.671316666666,0.629933333333,0.709333333333,0.671316666666
mnist_family,qmnist,zeropadding,standard,correct,0.4,3,3,0.7881,0.745216666667,0.8153,0.7881
mnist_family,qmnist,zeropadding,standard,correct,0.8,3,3,0.798755555555,0.779733333333,0.819633333333,0.798755555555
mnist_family,qmnist,zeropadding,standard,medium,0.1,3,3,0.647666666666,0.625883333333,0.683333333333,0.646655555555
