dataset,model,layer,checkpoint,seed,trial,d_out,d_in,R,r,alpha,target_condition_number,actual_condition_number,condition_relative_error,smallest_gauge_singular_value,b_gauge_frobenius_norm,a_gauge_frobenius_norm,full_update_error,dense_optimal_error,sp_plus_dense_error_gap,compact_full_reconstruction_error,compact_path_no_dense_intermediate,gauge_construction,method,broadcast_error,excess_error,numerical_checks_passed
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000007e+01,7.1054273576010023e-16,3.1622776601683772e-01,2.7876070530789128e+00,2.3321701670723582e+00,4.7522073264615978e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.7287575171505681e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,9.1479857877427784e-01,7.9717888843013318e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,0,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+01,1.0000000000000007e+01,7.1054273576010023e-16,3.1622776601683772e-01,2.7876070530789128e+00,2.3321701670723582e+00,4.7522073264615978e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.7287575171505681e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999922e-01,1.6457339059369438e+00,1.6457339059369436e+00,3.2332937431100034e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.3513484960004565e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.4214878308347965e-01,6.2452909273933499e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000011e+00,1.1102230246251565e-15,9.9999999999999922e-01,1.6457339059369438e+00,1.6457339059369436e+00,3.2332937431100034e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.3513484960004565e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000004e+00,2.9605947323337506e-16,8.1649658092772592e-01,1.7008519718242570e+00,1.6460188703261995e+00,3.3269672947934456e-16,1.1761969034414466e-01,2.7755575615628914e-17,9.7387272836800149e-16,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.5531573139335528e-01,6.3769604104921063e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,1.5000000000000000e+00,1.5000000000000004e+00,2.9605947323337506e-16,8.1649658092772592e-01,1.7008519718242570e+00,1.6460188703261995e+00,3.3269672947934456e-16,1.1761969034414466e-01,2.7755575615628914e-17,9.7387272836800149e-16,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414463e-01,-2.7755575615628914e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000009e+00,4.4408920985006262e-16,7.0710678118654746e-01,1.7743521225653995e+00,1.6793837213627989e+00,3.5581877107322293e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.7581574260639586e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,7.8169753677160136e-01,6.6407784642745671e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000009e+00,4.4408920985006262e-16,7.0710678118654746e-01,1.7743521225653995e+00,1.6793837213627989e+00,3.5581877107322293e-16,1.1761969034414466e-01,4.1633363423443370e-17,1.7581574260639586e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414461e-01,-4.1633363423443370e-17,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000022e+00,7.4014868308343773e-16,5.7735026918962562e-01,1.9282699588168095e+00,1.7731304599916404e+00,3.7340760637939954e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.2286984056254692e-15,True,Q_left D(kappa) Q_right^T,RBLA prefix,8.4779851707113174e-01,7.3017882672698708e-01,True
synthetic,structured_low_rank_update,aggregate,N/A,42,1,128,96,16,8,4.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000022e+00,7.4014868308343773e-16,5.7735026918962562e-01,1.9282699588168095e+00,1.7731304599916404e+00,3.7340760637939954e-16,1.1761969034414466e-01,2.7755575615628914e-17,1.2286984056254692e-15,True,Q_left D(kappa) Q_right^T,SP+ (compact QR),1.1761969034414463e-01,-2.7755575615628914e-17,True
